source,variant,mse,rmse,mae,cos_mean,sample_mse_p50,sample_mse_p90,sample_mse_p95,sample_mse_p99,dim_rmse_mean,dim_rmse_p95,dim_rmse_max,residual_mean_norm,residual_effective_rank,residual_top10_energy,residual_top50_energy,residual_top100_energy,residual_kurtosis,normal_nll,laplace_nll
seed2026_transnet,raw,1.2165879011154175,1.1029903888702393,0.8669793605804443,0.0021765087731182575,1.149764060974121,1.7740646600723267,1.9996143579483032,2.471411943435669,1.0928983688354492,1.3390570878982544,2.3612372875213623,9.262166976928711,54.7147216796875,0.29920822381973267,0.6582628488540649,0.8237638473510742,0.34737610816955566,1.5173306465148926,1.5510934591293335
seed2026_transnet,procrustes,0.050993576645851135,0.22581757605075836,0.1693212389945984,0.9621279239654541,0.04059895873069763,0.09963387995958328,0.1259869784116745,0.19372431933879852,0.2253602147102356,0.24866065382957458,0.28844234347343445,8.930457511269196e-07,100.5474853515625,0.21671856939792633,0.5034693479537964,0.6918976902961731,1.7383804321289062,-0.0690147876739502,-0.08245635032653809
seed2026_transnet,affine,0.02558242157101631,0.1599450558423996,0.11947263032197952,0.9811790585517883,0.020556248724460602,0.050360068678855896,0.06283128261566162,0.0951317697763443,0.15944543480873108,0.18131524324417114,0.21308563649654388,7.575062682008138e-06,81.26049041748047,0.25083789229393005,0.5827081799507141,0.7720136642456055,1.799558162689209,-0.41269993782043457,-0.43044447898864746
seed3407_transnet,raw,1.1806293725967407,1.086567759513855,0.8548324704170227,-0.002311381045728922,1.1241518259048462,1.6836304664611816,1.8788756132125854,2.2872071266174316,1.074774980545044,1.371294617652893,2.0556185245513916,9.641758918762207,49.11050796508789,0.30958932638168335,0.6635264158248901,0.8249834775924683,0.3590245246887207,1.5016136169433594,1.5358587503433228
seed3407_transnet,procrustes,0.07239177823066711,0.2690572142601013,0.20247651636600494,0.9463678598403931,0.060809701681137085,0.13964109122753143,0.17020738124847412,0.23894286155700684,0.26852160692214966,0.299826979637146,0.34335893392562866,9.361650086248119e-07,105.5030746459961,0.2208007127046585,0.5040221810340881,0.6890277862548828,1.4786391258239746,0.10686475038528442,0.09654402732849121
seed3407_transnet,affine,0.03503270819783211,0.18717026710510254,0.13786813616752625,0.9743770360946655,0.027463683858513832,0.0724208876490593,0.09138631820678711,0.13671965897083282,0.1866511106491089,0.2086343765258789,0.2352924942970276,8.503003300575074e-06,88.19623565673828,0.2453012466430664,0.6100521087646484,0.8005516529083252,2.0783300399780273,-0.2571350932121277,-0.2885836362838745
seed2026_clnet,raw,0.9598787426948547,0.9797340035438538,0.7669872641563416,-0.0032197677064687014,0.8975574374198914,1.4321917295455933,1.6294634342193604,2.047027111053467,0.9710638523101807,1.1892451047897339,2.282681465148926,7.303852558135986,77.6208267211914,0.25925275683403015,0.6071240305900574,0.786476731300354,0.4817636013031006,1.3976778984069824,1.4271239042282104
seed2026_clnet,procrustes,0.19432148337364197,0.44081911444664,0.3286410868167877,0.8488786220550537,0.15052999556064606,0.3909975290298462,0.48349204659461975,0.6741217374801636,0.4293256103992462,0.6257383227348328,1.0980966091156006,6.797266678404412e-07,12.355228424072266,0.41664886474609375,0.6094782948493958,0.7423897981643677,2.0881967544555664,0.5989577770233154,0.5795495510101318
seed2026_clnet,affine,0.09856420755386353,0.3139493763446808,0.22370003163814545,0.9252848029136658,0.06879736483097076,0.21513254940509796,0.2690374255180359,0.3942948281764984,0.28770413994789124,0.5426546931266785,1.0601987838745117,4.069783244631253e-06,3.3128302097320557,0.710482656955719,0.8179957866668701,0.8825600743293762,4.229430675506592,0.25942903757095337,0.19527745246887207
seed2026_crnet,raw,0.8518667221069336,0.9229662418365479,0.7227771878242493,0.0027862705755978823,0.7979012727737427,1.2672533988952637,1.4393198490142822,1.801637887954712,0.9138926267623901,1.1538573503494263,2.067054510116577,7.223511695861816,71.91852569580078,0.26367324590682983,0.6088443994522095,0.7880346775054932,0.4684624671936035,1.3377494812011719,1.367309331893921
seed2026_crnet,procrustes,0.21639347076416016,0.4651811122894287,0.3524816334247589,0.8388788104057312,0.18013408780097961,0.4036110043525696,0.48082223534584045,0.6382198929786682,0.4549625813961029,0.6414916515350342,1.099238634109497,6.692972078781168e-07,15.102470397949219,0.3913850784301758,0.6075304746627808,0.7497334480285645,1.5368947982788086,0.6531416177749634,0.6498308181762695
seed2026_crnet,affine,0.09643625468015671,0.31054186820983887,0.22110874950885773,0.9268159866333008,0.0676412284374237,0.2098468393087387,0.2636355459690094,0.39098891615867615,0.2846532464027405,0.5373222231864929,1.0468716621398926,5.016297563997796e-06,3.309882164001465,0.7072867155075073,0.8163583874702454,0.8817460536956787,4.279106616973877,0.24832305312156677,0.18355166912078857
seed2026_csinet,raw,1.966405987739563,1.4022859334945679,1.096024990081787,-0.005492598284035921,1.8007253408432007,3.041637897491455,3.516162157058716,4.564660549163818,1.3922834396362305,1.6591118574142456,3.1051759719848633,9.273143768310547,77.73313903808594,0.27661874890327454,0.626352846622467,0.8011625409126282,0.5724523067474365,1.755933165550232,1.7834248542785645
seed2026_csinet,procrustes,0.46246740221977234,0.6800495386123657,0.5248756408691406,0.8304158449172974,0.41397273540496826,0.7726532816886902,0.9273673892021179,1.3139240741729736,0.6758086085319519,0.8111752271652222,1.083733081817627,8.961073376667628e-07,44.635223388671875,0.3514751195907593,0.6295305490493774,0.7835215330123901,0.8686614036560059,1.0338823795318604,1.049426794052124
