device=cuda
mapper=flow, params=14704640
train=90000, val=10000, code_dim=512
epoch=0057 train_mse=1.069359e-02 val_mse=2.036467e-02 val_cos=0.985524 val_nmse=-15.006dB
epoch=0058 train_mse=1.057859e-02 val_mse=2.058680e-02 val_cos=0.985312 val_nmse=-14.958dB
epoch=0059 train_mse=1.049127e-02 val_mse=2.047653e-02 val_cos=0.985414 val_nmse=-14.982dB
epoch=0060 train_mse=1.039060e-02 val_mse=2.046708e-02 val_cos=0.985445 val_nmse=-14.984dB
epoch=0061 train_mse=1.029734e-02 val_mse=2.053140e-02 val_cos=0.985410 val_nmse=-14.970dB
epoch=0062 train_mse=1.017893e-02 val_mse=2.035603e-02 val_cos=0.985562 val_nmse=-15.008dB
epoch=0063 train_mse=1.012122e-02 val_mse=2.022605e-02 val_cos=0.985634 val_nmse=-15.035dB
epoch=0064 train_mse=1.001790e-02 val_mse=2.033101e-02 val_cos=0.985553 val_nmse=-15.013dB
epoch=0065 train_mse=9.936517e-03 val_mse=2.037435e-02 val_cos=0.985502 val_nmse=-15.004dB
epoch=0066 train_mse=9.845196e-03 val_mse=2.015043e-02 val_cos=0.985698 val_nmse=-15.052dB
epoch=0067 train_mse=9.752011e-03 val_mse=2.015035e-02 val_cos=0.985693 val_nmse=-15.052dB
epoch=0068 train_mse=9.686351e-03 val_mse=2.006226e-02 val_cos=0.985733 val_nmse=-15.071dB
epoch=0069 train_mse=9.617956e-03 val_mse=2.009552e-02 val_cos=0.985752 val_nmse=-15.063dB
epoch=0070 train_mse=9.535914e-03 val_mse=2.006386e-02 val_cos=0.985757 val_nmse=-15.070dB
epoch=0071 train_mse=9.449203e-03 val_mse=2.015344e-02 val_cos=0.985693 val_nmse=-15.051dB
epoch=0072 train_mse=9.374034e-03 val_mse=1.998790e-02 val_cos=0.985817 val_nmse=-15.087dB
epoch=0073 train_mse=9.323031e-03 val_mse=2.011356e-02 val_cos=0.985689 val_nmse=-15.059dB
epoch=0074 train_mse=9.235003e-03 val_mse=2.024715e-02 val_cos=0.985619 val_nmse=-15.031dB
epoch=0075 train_mse=9.158811e-03 val_mse=1.986399e-02 val_cos=0.985907 val_nmse=-15.114dB
epoch=0076 train_mse=9.085225e-03 val_mse=1.992457e-02 val_cos=0.985874 val_nmse=-15.101dB
epoch=0077 train_mse=9.046364e-03 val_mse=1.997918e-02 val_cos=0.985830 val_nmse=-15.088dB
epoch=0078 train_mse=8.971121e-03 val_mse=1.986757e-02 val_cos=0.985923 val_nmse=-15.113dB
epoch=0079 train_mse=8.913005e-03 val_mse=1.981070e-02 val_cos=0.985970 val_nmse=-15.126dB
epoch=0080 train_mse=8.863051e-03 val_mse=1.985529e-02 val_cos=0.985926 val_nmse=-15.116dB
epoch=0081 train_mse=8.802909e-03 val_mse=1.975224e-02 val_cos=0.985982 val_nmse=-15.138dB
epoch=0082 train_mse=8.740856e-03 val_mse=1.982331e-02 val_cos=0.985943 val_nmse=-15.123dB
epoch=0083 train_mse=8.688366e-03 val_mse=1.980714e-02 val_cos=0.985975 val_nmse=-15.126dB
epoch=0084 train_mse=8.620600e-03 val_mse=1.978479e-02 val_cos=0.985990 val_nmse=-15.131dB
epoch=0085 train_mse=8.569935e-03 val_mse=1.973222e-02 val_cos=0.986060 val_nmse=-15.143dB
epoch=0086 train_mse=8.511988e-03 val_mse=1.962350e-02 val_cos=0.986108 val_nmse=-15.167dB
epoch=0087 train_mse=8.462934e-03 val_mse=1.971406e-02 val_cos=0.986048 val_nmse=-15.147dB
epoch=0088 train_mse=8.398707e-03 val_mse=1.970178e-02 val_cos=0.986041 val_nmse=-15.150dB
epoch=0089 train_mse=8.372308e-03 val_mse=1.967424e-02 val_cos=0.986048 val_nmse=-15.156dB
epoch=0090 train_mse=8.337816e-03 val_mse=1.966254e-02 val_cos=0.986091 val_nmse=-15.158dB
epoch=0091 train_mse=8.265647e-03 val_mse=1.967185e-02 val_cos=0.986070 val_nmse=-15.156dB
epoch=0092 train_mse=8.213200e-03 val_mse=1.972743e-02 val_cos=0.986031 val_nmse=-15.144dB
epoch=0093 train_mse=8.155806e-03 val_mse=1.965628e-02 val_cos=0.986061 val_nmse=-15.160dB
epoch=0094 train_mse=8.135246e-03 val_mse=1.963479e-02 val_cos=0.986107 val_nmse=-15.164dB
epoch=0095 train_mse=8.109742e-03 val_mse=1.958850e-02 val_cos=0.986130 val_nmse=-15.175dB
epoch=0096 train_mse=8.039932e-03 val_mse=1.954749e-02 val_cos=0.986164 val_nmse=-15.184dB
epoch=0097 train_mse=7.983131e-03 val_mse=1.960483e-02 val_cos=0.986134 val_nmse=-15.171dB
epoch=0098 train_mse=7.973013e-03 val_mse=1.950943e-02 val_cos=0.986227 val_nmse=-15.192dB
epoch=0099 train_mse=7.912973e-03 val_mse=1.948947e-02 val_cos=0.986212 val_nmse=-15.197dB
epoch=0100 train_mse=7.885562e-03 val_mse=1.965147e-02 val_cos=0.986101 val_nmse=-15.161dB
epoch=0101 train_mse=7.844361e-03 val_mse=1.938695e-02 val_cos=0.986297 val_nmse=-15.220dB
epoch=0102 train_mse=7.805518e-03 val_mse=1.943023e-02 val_cos=0.986267 val_nmse=-15.210dB
epoch=0103 train_mse=7.759250e-03 val_mse=1.953618e-02 val_cos=0.986202 val_nmse=-15.187dB
epoch=0104 train_mse=7.723882e-03 val_mse=1.942997e-02 val_cos=0.986281 val_nmse=-15.211dB
epoch=0105 train_mse=7.684606e-03 val_mse=1.941393e-02 val_cos=0.986294 val_nmse=-15.214dB
epoch=0106 train_mse=7.638054e-03 val_mse=1.946313e-02 val_cos=0.986272 val_nmse=-15.203dB
epoch=0107 train_mse=7.619311e-03 val_mse=1.939574e-02 val_cos=0.986312 val_nmse=-15.218dB
epoch=0108 train_mse=7.590656e-03 val_mse=1.947519e-02 val_cos=0.986253 val_nmse=-15.200dB
epoch=0109 train_mse=7.526206e-03 val_mse=1.954095e-02 val_cos=0.986195 val_nmse=-15.185dB
epoch=0110 train_mse=7.517021e-03 val_mse=1.947046e-02 val_cos=0.986245 val_nmse=-15.201dB
epoch=0111 train_mse=7.486897e-03 val_mse=1.928812e-02 val_cos=0.986387 val_nmse=-15.243dB
epoch=0112 train_mse=7.444198e-03 val_mse=1.942263e-02 val_cos=0.986295 val_nmse=-15.212dB
epoch=0113 train_mse=7.407082e-03 val_mse=1.940468e-02 val_cos=0.986297 val_nmse=-15.216dB
epoch=0114 train_mse=7.389562e-03 val_mse=1.934164e-02 val_cos=0.986330 val_nmse=-15.231dB
epoch=0115 train_mse=7.355205e-03 val_mse=1.931353e-02 val_cos=0.986358 val_nmse=-15.236dB
epoch=0116 train_mse=7.335543e-03 val_mse=1.933174e-02 val_cos=0.986343 val_nmse=-15.232dB
epoch=0117 train_mse=7.286639e-03 val_mse=1.937605e-02 val_cos=0.986325 val_nmse=-15.222dB
epoch=0118 train_mse=7.256132e-03 val_mse=1.940681e-02 val_cos=0.986321 val_nmse=-15.215dB
epoch=0119 train_mse=7.240479e-03 val_mse=1.936390e-02 val_cos=0.986334 val_nmse=-15.225dB
epoch=0120 train_mse=7.185227e-03 val_mse=1.932276e-02 val_cos=0.986358 val_nmse=-15.235dB
epoch=0121 train_mse=7.179456e-03 val_mse=1.926014e-02 val_cos=0.986418 val_nmse=-15.248dB
epoch=0122 train_mse=7.132290e-03 val_mse=1.928917e-02 val_cos=0.986367 val_nmse=-15.242dB
epoch=0123 train_mse=7.132775e-03 val_mse=1.942158e-02 val_cos=0.986300 val_nmse=-15.212dB
epoch=0124 train_mse=7.095875e-03 val_mse=1.926718e-02 val_cos=0.986416 val_nmse=-15.247dB
epoch=0125 train_mse=7.059422e-03 val_mse=1.929359e-02 val_cos=0.986411 val_nmse=-15.241dB
epoch=0126 train_mse=7.041988e-03 val_mse=1.921498e-02 val_cos=0.986466 val_nmse=-15.259dB
epoch=0127 train_mse=7.008626e-03 val_mse=1.933754e-02 val_cos=0.986361 val_nmse=-15.231dB
epoch=0128 train_mse=6.997139e-03 val_mse=1.923308e-02 val_cos=0.986428 val_nmse=-15.255dB
epoch=0129 train_mse=6.948415e-03 val_mse=1.928018e-02 val_cos=0.986409 val_nmse=-15.244dB
epoch=0130 train_mse=6.944473e-03 val_mse=1.918959e-02 val_cos=0.986465 val_nmse=-15.264dB
epoch=0131 train_mse=6.914756e-03 val_mse=1.931201e-02 val_cos=0.986373 val_nmse=-15.237dB
epoch=0132 train_mse=6.884584e-03 val_mse=1.925960e-02 val_cos=0.986443 val_nmse=-15.249dB
epoch=0133 train_mse=6.868121e-03 val_mse=1.936712e-02 val_cos=0.986356 val_nmse=-15.225dB
epoch=0134 train_mse=6.835230e-03 val_mse=1.928033e-02 val_cos=0.986402 val_nmse=-15.244dB
epoch=0135 train_mse=6.823563e-03 val_mse=1.927439e-02 val_cos=0.986416 val_nmse=-15.245dB
epoch=0136 train_mse=6.796888e-03 val_mse=1.922171e-02 val_cos=0.986453 val_nmse=-15.257dB
epoch=0137 train_mse=6.774777e-03 val_mse=1.918717e-02 val_cos=0.986487 val_nmse=-15.265dB
epoch=0138 train_mse=6.746996e-03 val_mse=1.931494e-02 val_cos=0.986402 val_nmse=-15.236dB
epoch=0139 train_mse=6.729066e-03 val_mse=1.924739e-02 val_cos=0.986451 val_nmse=-15.251dB
epoch=0140 train_mse=6.709573e-03 val_mse=1.920717e-02 val_cos=0.986466 val_nmse=-15.261dB
epoch=0141 train_mse=6.686519e-03 val_mse=1.920570e-02 val_cos=0.986479 val_nmse=-15.261dB
epoch=0142 train_mse=6.649343e-03 val_mse=1.923606e-02 val_cos=0.986446 val_nmse=-15.254dB
epoch=0143 train_mse=6.627977e-03 val_mse=1.927803e-02 val_cos=0.986424 val_nmse=-15.245dB
epoch=0144 train_mse=6.610663e-03 val_mse=1.925480e-02 val_cos=0.986452 val_nmse=-15.250dB
epoch=0145 train_mse=6.591140e-03 val_mse=1.923496e-02 val_cos=0.986459 val_nmse=-15.254dB
epoch=0146 train_mse=6.575742e-03 val_mse=1.910852e-02 val_cos=0.986556 val_nmse=-15.283dB
epoch=0147 train_mse=6.548141e-03 val_mse=1.911453e-02 val_cos=0.986553 val_nmse=-15.282dB
epoch=0148 train_mse=6.545430e-03 val_mse=1.919268e-02 val_cos=0.986493 val_nmse=-15.264dB
epoch=0149 train_mse=6.513169e-03 val_mse=1.919912e-02 val_cos=0.986479 val_nmse=-15.262dB
epoch=0150 train_mse=6.497085e-03 val_mse=1.931530e-02 val_cos=0.986376 val_nmse=-15.236dB
epoch=0151 train_mse=6.471795e-03 val_mse=1.920638e-02 val_cos=0.986470 val_nmse=-15.260dB
epoch=0152 train_mse=6.457664e-03 val_mse=1.922511e-02 val_cos=0.986456 val_nmse=-15.256dB
epoch=0153 train_mse=6.447734e-03 val_mse=1.926123e-02 val_cos=0.986427 val_nmse=-15.248dB
