name,encoder,decoder,num_samples,code_dim,mean_global,std_global,min,max,abs_mean,l2_mean,l2_std,near_zero_1e_3,near_zero_1e_2,dim_std_mean,dim_std_std,dead_dim_ratio_1e_3,active_dim_ratio_1e_2,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,pca_top20_ratio,effective_rank,condition_number_top512,final_test_loss,final_test_nmse
attention_cnn_cnn_residual,attention_cnn,cnn_residual,100000,512,0.09348856657743454,6.749575614929199,-43.446922302246094,42.21316146850586,2.2581777572631836,152.72933959960938,1.8137637376785278,0.0018703710520640016,0.01867816410958767,0.2781073749065399,0.08362139016389847,0.0,1.0,0.07418714463710785,0.15229494869709015,0.2230735868215561,0.32987359166145325,175.698486328125,226422.625,nan,nan
attention_cnn_hybrid,attention_cnn,hybrid,100000,512,-0.07673228532075882,0.7314822673797607,-5.6231584548950195,10.535543441772461,0.4311107397079468,16.58661651611328,1.3611276149749756,0.0017171484651044011,0.017192363739013672,0.47547078132629395,0.039486583322286606,0.0,1.0,0.036400917917490005,0.14880907535552979,0.24122054874897003,0.37045353651046753,158.07994079589844,11947.6787109375,nan,nan
attention_cnn_transnet,attention_cnn,transnet,100000,512,0.002080044010654092,0.5940598845481873,-4.467042446136475,4.467293739318848,0.4651425778865814,13.170720100402832,2.687530517578125,0.0014194336254149675,0.014187948778271675,0.585570752620697,0.03659453243017197,0.0,1.0,0.0404854454100132,0.15533462166786194,0.2527658939361572,0.3940405249595642,145.7747802734375,6712.13671875,nan,nan
cbam_cnn_cnn_residual,cbam_cnn,cnn_residual,100000,512,-0.25068849325180054,16.09446144104004,-117.13874816894531,116.88231658935547,4.5599517822265625,364.210693359375,2.6472949981689453,0.0010683008003979921,0.010636288672685623,0.5393490195274353,0.18742546439170837,0.0,1.0,0.041543878614902496,0.13280634582042694,0.20818360149860382,0.31789806485176086,189.96286010742188,157758.09375,nan,nan
cbam_cnn_hybrid,cbam_cnn,hybrid,100000,512,0.1534905880689621,1.8167649507522583,-22.699247360229492,14.88932991027832,1.0588126182556152,41.167320251464844,2.690535545349121,0.0006992578273639083,0.006991484202444553,1.1553617715835571,0.10594694316387177,0.0,1.0,0.044491030275821686,0.167138934135437,0.2692350149154663,0.4144022762775421,133.97396850585938,60741.3984375,nan,nan
cbam_cnn_transnet,cbam_cnn,transnet,100000,512,0.010410838760435581,1.2731398344039917,-11.551043510437012,11.37038516998291,0.9961284399032593,28.362350463867188,5.0522942543029785,0.0006590039120055735,0.0066035157069563866,1.2364239692687988,0.12458549439907074,0.0,1.0,0.051250532269477844,0.1882503628730774,0.2970854640007019,0.4403075575828552,131.06468200683594,26886.693359375,nan,nan
clnet_cnn_residual,clnet,cnn_residual,100000,512,-0.3022710084915161,9.868978500366211,-44.75970458984375,49.93608093261719,4.100200653076172,223.3979034423828,2.698746919631958,0.001041523413732648,0.010420253500342369,0.406721293926239,0.07632417976856232,0.0,1.0,0.08903887867927551,0.16723674535751343,0.23304054141044617,0.3363858461380005,174.1720733642578,316015.15625,nan,nan
clnet_hybrid,clnet,hybrid,100000,512,0.024078523740172386,1.148132562637329,-14.400943756103516,12.036506652832031,0.6739333868026733,25.87267303466797,2.413367748260498,0.0011253710836172104,0.01121322251856327,0.7427008748054504,0.0628599226474762,0.0,1.0,0.03152281418442726,0.12052805721759796,0.19796113669872284,0.3209476172924042,188.17185974121094,28169.5078125,nan,nan
clnet_transnet,clnet,transnet,100000,512,0.0024452677462249994,0.6018073558807373,-5.193088531494141,5.0421929359436035,0.47154325246810913,13.323251724243164,2.815342426300049,0.0013983594253659248,0.013938965275883675,0.5895637273788452,0.029792647808790207,0.0,1.0,0.031622592359781265,0.1192878782749176,0.19706590473651886,0.32332751154899597,182.7266082763672,19056.06640625,nan,nan
cnn_cnn_residual,cnn,cnn_residual,100000,512,-0.1395607590675354,15.212496757507324,-86.93167877197266,127.6930923461914,4.606114864349365,344.2198791503906,3.116807460784912,0.0010539843933656812,0.010584414005279541,0.5615134835243225,0.16446693241596222,0.0,1.0,0.053781457245349884,0.15240398049354553,0.23305965960025787,0.3493823707103729,175.69052124023438,168044.578125,nan,nan
cnn_hybrid,cnn,hybrid,100000,512,-0.21856319904327393,1.8945244550704956,-16.327701568603516,23.448169708251953,1.099250316619873,43.041011810302734,3.100309133529663,0.0006787695456296206,0.006709687411785126,1.2089215517044067,0.1093483418226242,0.0,1.0,0.04198595508933067,0.16545724868774414,0.26675188541412354,0.40601006150245667,141.70652770996094,38637.328125,nan,nan
cnn_transnet,cnn,transnet,100000,512,-0.011241057887673378,1.0971074104309082,-8.881366729736328,8.587106704711914,0.8584378957748413,24.342851638793945,4.874050617218018,0.000772558618336916,0.007706132717430592,1.0747400522232056,0.0705137625336647,0.0,1.0,0.04278457537293434,0.17112644016742706,0.2788201570510864,0.423845112323761,134.77328491210938,36498.40625,nan,nan
convnext_cnn_residual,convnext,cnn_residual,100000,512,-0.2577188014984131,30.16861915588379,-235.38577270507812,260.2027893066406,8.574277877807617,681.4834594726562,40.110591888427734,0.0004764062468893826,0.004773183725774288,1.5964882373809814,1.558724284172058,0.0,1.0,0.6401103138923645,0.6671108603477478,0.692051887512207,0.7329631447792053,13.138708114624023,9005344.0,nan,nan
convnext_hybrid,convnext,hybrid,100000,512,0.0019428161904215813,2.542452335357666,-24.313884735107422,27.94204330444336,1.8330906629562378,57.35003662109375,4.536117076873779,0.0003871484368573874,0.0038187499158084393,2.023749589920044,0.24963393807411194,0.0,1.0,0.037098176777362823,0.1409294307231903,0.22149959206581116,0.34144771099090576,172.48223876953125,17259.37890625,nan,nan
