name,encoder,decoder,path,num_samples,code_dim,mean_global,std_global,min,max,abs_mean,abs_median,abs_q90,abs_q95,abs_q99,value_q001,value_q01,value_q05,value_median,value_q95,value_q99,value_q999,l2_mean,l2_std,l2_q01,l2_q05,l2_q25,l2_median,l2_q75,l2_q95,l2_q99,near_zero_1e_4,near_zero_1e_3,near_zero_1e_2,dim_mean_abs_mean,dim_mean_abs_max,dim_std_mean,dim_std_std,dim_std_min,dim_std_max,dead_dim_ratio_std_lt_1e_4,dead_dim_ratio_std_lt_1e_3,active_dim_ratio_std_gt_1e_2,cov_trace,pca_top1_ratio,pca_top2_ratio,pca_top5_ratio,pca_top10_ratio,pca_top20_ratio,pca_top50_ratio,effective_rank,condition_number_top512,final_test_loss,final_test_nmse
attention_cnn_cnn_residual,attention_cnn,cnn_residual,exps/seed42/COST2100/in/attention_cnn_cnn_residual/base/codewords/train_code.pt,100000,512,0.09348856657743454,6.749575614929199,-43.446922302246094,42.21316146850586,2.2581777572631836,0.28620201349258423,5.672614097595215,19.44902229309082,32.097103118896484,-39.71054458618164,-25.79193878173828,-5.728618621826172,0.06371353566646576,5.5966386795043945,29.344820022583008,37.84231185913086,152.72933959960938,1.8137637376785278,149.03216552734375,150.09689331054688,151.51910400390625,152.58905029296875,153.75082397460938,155.84259033203125,158.07720947265625,0.00019009764946531504,0.0018703710520640016,0.01867816410958767,2.1569783687591553,39.75830078125,0.2781073749065399,0.08362139016389847,0.16220121085643768,0.6032508611679077,0.0,0.0,1.0,43.18058776855469,0.07418714463710785,0.09724360704421997,0.15229494869709015,0.2230735868215561,0.32987359166145325,0.5477393865585327,175.698486328125,226422.625,nan,nan
attention_cnn_hybrid,attention_cnn,hybrid,exps/seed42/COST2100/in/attention_cnn_hybrid/base/codewords/train_code.pt,100000,512,-0.07673228532075882,0.7314822673797607,-5.6231584548950195,10.535543441772461,0.4311107397079468,0.31682562828063965,0.830152690410614,1.0413506031036377,2.199350595474243,-4.138672351837158,-1.5421128273010254,-0.9123562574386597,-0.08731161057949066,0.721371591091156,1.2436412572860718,8.006997108459473,16.58661651611328,1.3611276149749756,14.71607494354248,14.97318172454834,15.589171409606934,16.284669876098633,17.270526885986328,19.243118286132812,20.987884521484375,0.0001727148483041674,0.0017171484651044011,0.017192363739013672,0.14740893244743347,8.051721572875977,0.47547078132629395,0.039486583322286606,0.2933972179889679,0.6424657702445984,0.0,0.0,1.0,116.548583984375,0.036400917917490005,0.06830132007598877,0.14880907535552979,0.24122054874897003,0.37045353651046753,0.6078643798828125,158.07994079589844,11947.6787109375,nan,nan
attention_cnn_transnet,attention_cnn,transnet,exps/seed42/COST2100/in/attention_cnn_transnet/base/codewords/train_code.pt,100000,512,0.002080044010654092,0.5940598845481873,-4.467042446136475,4.467293739318848,0.4651425778865814,0.3822508454322815,0.9710155725479126,1.180757761001587,1.6291487216949463,-2.0451109409332275,-1.4385453462600708,-0.9689332842826843,0.002149593085050583,0.9730685949325562,1.442646861076355,2.050291061401367,13.170720100402832,2.687530517578125,8.547924995422363,9.393627166748047,11.174079895019531,12.838852882385254,14.803016662597656,18.117473602294922,20.688976287841797,0.0001403906207997352,0.0014194336254149675,0.014187948778271675,0.06377203017473221,0.579586386680603,0.585570752620697,0.03659453243017197,0.49557918310165405,0.7198987007141113,0.0,0.0,1.0,176.24868774414062,0.0404854454100132,0.07798857241868973,0.15533462166786194,0.2527658939361572,0.3940405249595642,0.6355494260787964,145.7747802734375,6712.13671875,nan,nan
cbam_cnn_cnn_residual,cbam_cnn,cnn_residual,exps/seed42/COST2100/in/cbam_cnn_cnn_residual/base/codewords/train_code.pt,100000,512,-0.25068849325180054,16.09446144104004,-117.13874816894531,116.88231658935547,4.5599517822265625,0.5124660134315491,2.4417009353637695,37.21525192260742,85.60277557373047,-108.96658325195312,-68.05641174316406,-2.6770119667053223,-0.17351709306240082,2.214021921157837,64.56067657470703,108.18685913085938,364.210693359375,2.6472949981689453,356.9183044433594,360.1287536621094,362.76220703125,364.17816162109375,365.6923522949219,368.4169006347656,370.89593505859375,0.00010699218546506017,0.0010683008003979921,0.010636288672685623,4.346240997314453,108.98381042480469,0.5393490195274353,0.18742546439170837,0.28285929560661316,1.2749220132827759,0.0,0.0,1.0,166.9268035888672,0.041543878614902496,0.0679110512137413,0.13280634582042694,0.20818360149860382,0.31789806485176086,0.5334939956665039,189.96286010742188,157758.09375,nan,nan
cbam_cnn_hybrid,cbam_cnn,hybrid,exps/seed42/COST2100/in/cbam_cnn_hybrid/base/codewords/train_code.pt,100000,512,0.1534905880689621,1.8167649507522583,-22.699247360229492,14.88932991027832,1.0588126182556152,0.775699257850647,2.0192182064056396,2.527256727218628,5.988722324371338,-19.148435592651367,-3.1194841861724854,-1.784422755241394,0.20134598016738892,2.197312355041504,3.633110761642456,10.400391578674316,41.167320251464844,2.690535545349121,36.9916877746582,37.786529541015625,39.22499084472656,40.652793884277344,42.57625198364258,46.33308792114258,49.536319732666016,7.101562368916348e-05,0.0006992578273639083,0.006991484202444553,0.3479515612125397,18.76709747314453,1.1553617715835571,0.10594694316387177,0.8371518850326538,1.536806583404541,0.0,0.0,1.0,689.2027587890625,0.044491030275821686,0.08493155241012573,0.167138934135437,0.2692350149154663,0.4144022762775421,0.6577911376953125,133.97396850585938,60741.3984375,nan,nan
cbam_cnn_transnet,cbam_cnn,transnet,exps/seed42/COST2100/in/cbam_cnn_transnet/base/codewords/train_code.pt,100000,512,0.010410838760435581,1.2731398344039917,-11.551043510437012,11.37038516998291,0.9961284399032593,0.8199822306632996,2.071840286254883,2.517845869064331,3.490680694580078,-4.36287784576416,-3.0425503253936768,-2.0569005012512207,0.006894934456795454,2.0868659019470215,3.1099064350128174,4.6099958419799805,28.362350463867188,5.0522942543029785,19.860828399658203,21.26911163330078,24.555011749267578,27.720502853393555,31.480836868286133,37.693668365478516,42.32394790649414,6.63867176626809e-05,0.0006590039120055735,0.0066035157069563866,0.17705437541007996,3.113752603530884,1.2364239692687988,0.12458549439907074,0.9614946246147156,2.942915439605713,0.0,0.0,1.0,790.6720581054688,0.051250532269477844,0.09535658359527588,0.1882503628730774,0.2970854640007019,0.4403075575828552,0.6608681678771973,131.06468200683594,26886.693359375,nan,nan
clnet_cnn_residual,clnet,cnn_residual,exps/seed42/COST2100/in/clnet_cnn_residual/base/codewords/train_code.pt,100000,512,-0.3022710084915161,9.868978500366211,-44.75970458984375,49.93608093261719,4.100200653076172,0.5458797812461853,19.36210060119629,28.72599983215332,39.37184524536133,-40.770782470703125,-33.77784729003906,-20.535070419311523,-0.2332303822040558,18.7825927734375,34.32224655151367,45.7573127746582,223.3979034423828,2.698746919631958,216.9512481689453,219.05792236328125,221.80555725097656,223.30906677246094,224.8890380859375,228.03163146972656,230.76470947265625,0.00010390624811407179,0.001041523413732648,0.010420253500342369,3.9982807636260986,45.78807067871094,0.406721293926239,0.07632417976856232,0.29998794198036194,0.7162732481956482,0.0,0.0,1.0,87.67963409423828,0.08903887867927551,0.11301392316818237,0.16723674535751343,0.23304054141044617,0.3363858461380005,0.545595645904541,174.1720733642578,316015.15625,nan,nan
clnet_hybrid,clnet,hybrid,exps/seed42/COST2100/in/clnet_hybrid/base/codewords/train_code.pt,100000,512,0.024078523740172386,1.148132562637329,-14.400943756103516,12.036506652832031,0.6739333868026733,0.4850360155105591,1.2809724807739258,1.6236552000045776,5.027768135070801,-10.866538047790527,-2.301912546157837,-1.2187514305114746,0.057798366993665695,1.3352487087249756,2.2743043899536133,7.57735538482666,25.87267303466797,2.413367748260498,22.16132164001465,22.76193618774414,24.076812744140625,25.44190216064453,27.214765548706055,30.492891311645508,33.165103912353516,0.00011187500058440492,0.0011253710836172104,0.01121322251856327,0.15897107124328613,10.878457069396973,0.7427008748054504,0.0628599226474762,0.6102433204650879,1.0130841732025146,0.0,0.0,1.0,284.4474792480469,0.03152281418442726,0.06219271570444107,0.12052805721759796,0.19796113669872284,0.3209476172924042,0.5544455647468567,188.17185974121094,28169.5078125,nan,nan
clnet_transnet,clnet,transnet,exps/seed42/COST2100/in/clnet_transnet/base/codewords/train_code.pt,100000,512,0.0024452677462249994,0.6018073558807373,-5.193088531494141,5.0421929359436035,0.47154325246810913,0.38826942443847656,0.9823402762413025,1.1946816444396973,1.649601936340332,-2.0776712894439697,-1.4583954811096191,-0.9810294508934021,0.003056350164115429,0.9836321473121643,1.4589810371398926,2.078636884689331,13.323251724243164,2.815342426300049,8.401068687438965,9.370280265808105,11.231191635131836,12.976480484008789,15.032646179199219,18.510866165161133,21.180849075317383,0.00013814453268423676,0.0013983594253659248,0.013938965275883675,0.09133001416921616,0.4220963418483734,0.5895637273788452,0.029792647808790207,0.5197895765304565,0.6742911338806152,0.0,0.0,1.0,178.41993713378906,0.031622592359781265,0.062202274799346924,0.1192878782749176,0.19706590473651886,0.32332751154899597,0.5621258616447449,182.7266082763672,19056.06640625,nan,nan
cnn_cnn_residual,cnn,cnn_residual,exps/seed42/COST2100/in/cnn_cnn_residual/base/codewords/train_code.pt,100000,512,-0.1395607590675354,15.212496757507324,-86.93167877197266,127.6930923461914,4.606114864349365,0.5199576020240784,8.346797943115234,33.494930267333984,77.19348907470703,-82.29236602783203,-70.31893920898438,-11.684709548950195,-0.14886543154716492,6.5418901443481445,54.3801383972168,121.04610443115234,344.2198791503906,3.116807460784912,336.71600341796875,339.29180908203125,342.29376220703125,344.106689453125,346.0628356933594,349.490234375,352.46124267578125,0.00010742187441792339,0.0010539843933656812,0.010584414005279541,4.372326850891113,121.11585235595703,0.5615134835243225,0.16446693241596222,0.3336881399154663,1.2659294605255127,0.0,0.0,1.0,175.28330993652344,0.053781457245349884,0.08249615877866745,0.15240398049354553,0.23305965960025787,0.3493823707103729,0.5652868151664734,175.69052124023438,168044.578125,nan,nan
