left,right,centroid_l2,centroid_cosine,std_profile_l2,std_profile_cosine,covariance_frobenius
attention_cnn_cnn_residual,attention_cnn_hybrid,151.7874755859375,0.10537823289632797,4.9345622062683105,0.9541652202606201,12.291403770446777
attention_cnn_cnn_residual,attention_cnn_transnet,152.6138916015625,-0.00031289830803871155,7.252499103546143,0.9561739563941956,19.11219024658203
attention_cnn_cnn_residual,cbam_cnn_cnn_residual,396.72918701171875,-0.014566715806722641,7.436556816101074,0.9116877317428589,15.62724781036377
attention_cnn_cnn_residual,cbam_cnn_hybrid,157.53138732910156,-0.05322737619280815,20.0722713470459,0.9549606442451477,78.15794372558594
attention_cnn_cnn_residual,cbam_cnn_transnet,152.71856689453125,0.001400204375386238,21.95220184326172,0.9523724317550659,94.5910873413086
attention_cnn_cnn_residual,clnet_cnn_residual,269.6395568847656,0.005975783336907625,3.8577494621276855,0.9424349665641785,10.774507522583008
attention_cnn_cnn_residual,clnet_hybrid,153.24032592773438,0.0322447195649147,10.77812671661377,0.9540049433708191,26.206872940063477
attention_cnn_cnn_residual,clnet_transnet,152.6251220703125,-0.001297761220484972,7.324567794799805,0.9567221999168396,16.68459701538086
attention_cnn_cnn_residual,cnn_cnn_residual,383.9661865234375,-0.055456388741731644,7.651139736175537,0.9191096425056458,17.94272232055664
attention_cnn_cnn_residual,cnn_hybrid,156.44775390625,-0.008053768426179886,21.283870697021484,0.9545943140983582,83.84945678710938
attention_cnn_cnn_residual,cnn_transnet,152.70596313476562,-0.007171120960265398,18.204280853271484,0.9545226097106934,67.9736557006836
attention_cnn_cnn_residual,convnext_cnn_residual,695.8080444335938,0.012595847249031067,46.15545654296875,0.6959776878356934,1633.2406005859375
attention_cnn_cnn_residual,convnext_hybrid,154.342041015625,0.061566296964883804,39.953086853027344,0.9495163559913635,211.42678833007812
attention_cnn_cnn_residual,convnext_transnet,153.1232147216797,0.012368516065180302,22.076244354248047,0.9556746482849121,79.43197631835938
attention_cnn_cnn_residual,crnet_cnn_residual,281.0278015136719,-0.01906788907945156,5.119603157043457,0.9437608122825623,10.795783042907715
attention_cnn_cnn_residual,crnet_hybrid,154.48780822753906,-0.10839308053255081,9.327048301696777,0.9552444815635681,24.457794189453125
attention_cnn_cnn_residual,crnet_transnet,152.75315856933594,-0.0372232086956501,6.971342086791992,0.9563455581665039,16.146902084350586
attention_cnn_cnn_residual,csinet_cnn_residual,265.36309814453125,-0.012921661138534546,4.442503452301025,0.9372488260269165,16.900896072387695
attention_cnn_cnn_residual,csinet_hybrid,155.3047332763672,-0.08052631467580795,13.224950790405273,0.9535024762153625,36.086830139160156
attention_cnn_cnn_residual,csinet_transnet,152.785400390625,-0.04057944193482399,17.299901962280273,0.9554004073143005,50.46356964111328
attention_cnn_cnn_residual,dscnn_cnn_residual,319.6123046875,-0.006067954935133457,6.062723159790039,0.9174502491950989,13.6622953414917
attention_cnn_cnn_residual,dscnn_hybrid,154.30963134765625,-0.00853050872683525,19.317508697509766,0.9518165588378906,73.98177337646484
attention_cnn_cnn_residual,dscnn_transnet,152.912353515625,-0.030501186847686768,22.890275955200195,0.9559140205383301,93.7376480102539
attention_cnn_cnn_residual,mlp_ae_cnn_residual,321.2548522949219,-0.005242444574832916,3.589273691177368,0.9135003089904785,14.676454544067383
attention_cnn_cnn_residual,mlp_ae_hybrid,152.4597930908203,0.04758122190833092,3.734666585922241,0.9549695253372192,4.653798580169678
attention_cnn_cnn_residual,mlp_ae_transnet,152.62049865722656,-0.004642872605472803,2.0301196575164795,0.955467700958252,5.116920471191406
attention_cnn_cnn_residual,mlp_mixer_cnn_residual,309.85302734375,0.004863834474235773,7.9003496170043945,0.8822321891784668,13.711714744567871
attention_cnn_cnn_residual,mlp_mixer_hybrid,152.6388702392578,0.04192771017551422,3.772799015045166,0.9561347365379333,8.953091621398926
attention_cnn_cnn_residual,mlp_mixer_transnet,152.65553283691406,-0.0031282599084079266,2.197160005569458,0.956400990486145,6.109128952026367
attention_cnn_cnn_residual,resnet_cnn_residual,513.8622436523438,0.000304926885291934,11.50877857208252,0.8977781534194946,26.042430877685547
