decoder,attention_cnn,cbam_cnn,clnet,cnn,convnext,crnet,csinet,dscnn,mlp_ae,mlp_mixer,resnet,sparse_resnet,swin,transnet
hybrid,-3.027700e+01,-2.900100e+01,-2.933800e+01,-2.865500e+01,-3.230700e+01,-3.125300e+01,-3.088900e+01,-2.273500e+01,-2.799100e+01,-3.293700e+01,-2.803500e+01,-2.810300e+01,-3.133100e+01,-3.501800e+01
transnet,-1.950400e+01,-1.933300e+01,-1.968100e+01,-1.945700e+01,-1.934100e+01,-1.949200e+01,-1.946300e+01,-1.750000e+01,-1.908700e+01,-1.967200e+01,-1.944400e+01,-1.898900e+01,-1.953700e+01,-1.966800e+01
