model,metric,K,relative_error_mean,relative_error_std
attention_cnn_cnn_residual,l2_mean,128,0.0010294257223553767,0.0007514917002889715
attention_cnn_cnn_residual,l2_mean,256,0.00029111014089938626,0.00032838477113000954
attention_cnn_cnn_residual,l2_mean,512,0.0004074023380326437,0.00032608827567245035
attention_cnn_cnn_residual,l2_mean,1024,0.0002817088558905894,0.00016593960184756033
attention_cnn_cnn_residual,pca_top1_ratio,16,1.0608500556881784,0.3235796760085558
attention_cnn_cnn_residual,pca_top1_ratio,32,0.6935894320006669,0.44247456119851203
attention_cnn_cnn_residual,pca_top1_ratio,64,0.20914383819596413,0.17687027299580407
attention_cnn_cnn_residual,pca_top1_ratio,128,0.21703616367202527,0.13466794702860307
attention_cnn_cnn_residual,pca_top1_ratio,256,0.08222246548487884,0.07395340433798914
attention_cnn_cnn_residual,pca_top1_ratio,512,0.06325638254815848,0.05220769606993105
attention_cnn_cnn_residual,pca_top1_ratio,1024,0.04002487639634718,0.02248790794256327
attention_cnn_cnn_residual,near_zero_1e_3,16,0.23683677048293122,0.14477461345041845
attention_cnn_cnn_residual,near_zero_1e_3,32,0.095575533109076,0.0997529707334393
attention_cnn_cnn_residual,near_zero_1e_3,64,0.10141128998376422,0.05914296435664452
attention_cnn_cnn_residual,near_zero_1e_3,128,0.0579229464785594,0.034132272360162016
attention_cnn_cnn_residual,near_zero_1e_3,256,0.0518371019206896,0.04523387423199727
attention_cnn_cnn_residual,near_zero_1e_3,512,0.0523372772870528,0.037634511990910564
attention_cnn_cnn_residual,near_zero_1e_3,1024,0.01874070457132027,0.011579222392182493
transnet_cnn_residual,effective_rank,16,0.9415265935275412,0.0026414779400020885
transnet_cnn_residual,effective_rank,32,0.8872633772526127,0.004573435221243391
transnet_cnn_residual,effective_rank,64,0.7913359981342376,0.004612794606108569
transnet_cnn_residual,effective_rank,128,0.6519489435733747,0.008734607786366151
transnet_cnn_residual,effective_rank,256,0.472117777025045,0.007277413899108172
transnet_cnn_residual,effective_rank,512,0.2913699750681935,0.0124614511186694
transnet_cnn_residual,effective_rank,1024,0.16872756162083385,0.007965969562796953
transnet_cnn_residual,pca_top5_ratio,16,3.7315601289742153,0.2619944721267349
transnet_cnn_residual,pca_top5_ratio,32,2.1324037911286395,0.21330960284747094
transnet_cnn_residual,pca_top5_ratio,64,1.0799395017465805,0.10235746719845576
transnet_cnn_residual,pca_top5_ratio,128,0.5952769105287902,0.06985211559513246
transnet_cnn_residual,pca_top5_ratio,256,0.29517851753087776,0.03514378395953305
transnet_cnn_residual,pca_top5_ratio,512,0.14426635372392402,0.04466950449725508
transnet_cnn_residual,pca_top5_ratio,1024,0.08832058259582445,0.01924319455949265
transnet_cnn_residual,std_global,16,0.003131792653190129,0.0021335398051514566
transnet_cnn_residual,std_global,32,0.001791932436577318,0.0017892751767968373
transnet_cnn_residual,std_global,64,0.0011634628547083897,0.00046142837741425794
transnet_cnn_residual,std_global,128,0.0008805040291499335,0.0005840881329385443
transnet_cnn_residual,std_global,256,0.0004962040440312395,0.0005026848678453315
transnet_cnn_residual,std_global,512,0.00038329108300979035,0.00032995996740017234
transnet_cnn_residual,std_global,1024,0.00023537227608850798,0.00021008337678976577
transnet_cnn_residual,l2_mean,16,0.0031531468733252297,0.0021513628618535503
transnet_cnn_residual,l2_mean,32,0.001797876763307406,0.0018073498763822974
transnet_cnn_residual,l2_mean,64,0.0011714729826220014,0.0004712090056903652
transnet_cnn_residual,l2_mean,128,0.00088346254897123,0.0005859259940946695
transnet_cnn_residual,l2_mean,256,0.0005010300830950628,0.0005060038593842534
transnet_cnn_residual,l2_mean,512,0.0003839670805695409,0.0003353245517492531
transnet_cnn_residual,l2_mean,1024,0.00023608209842780883,0.00021312413696937047
transnet_cnn_residual,pca_top1_ratio,16,1.8651557905266158,0.5278319599129219
transnet_cnn_residual,pca_top1_ratio,32,1.085766671641908,0.6097350199787265
transnet_cnn_residual,pca_top1_ratio,64,0.41685664234035363,0.2243879628492734
transnet_cnn_residual,pca_top1_ratio,128,0.27555822211049746,0.11862656844818127
transnet_cnn_residual,pca_top1_ratio,256,0.14099341827903772,0.08150298689303434
transnet_cnn_residual,pca_top1_ratio,512,0.10077492661518601,0.06197078762692045
transnet_cnn_residual,pca_top1_ratio,1024,0.06433099366049475,0.027266447161877084
transnet_cnn_residual,near_zero_1e_3,16,0.39792018529969125,0.3061819226847639
transnet_cnn_residual,near_zero_1e_3,32,0.24615293503298713,0.11243271998185939
transnet_cnn_residual,near_zero_1e_3,64,0.19095635942500705,0.12103068944362996
transnet_cnn_residual,near_zero_1e_3,128,0.09495822603742633,0.06491610109152764
transnet_cnn_residual,near_zero_1e_3,256,0.06886721166260176,0.059715118549118595
transnet_cnn_residual,near_zero_1e_3,512,0.04785593137600453,0.026144899777443987
transnet_cnn_residual,near_zero_1e_3,1024,0.024591054680865282,0.021221916929211545
dscnn_cnn_residual,effective_rank,16,0.9216021906496458,0.001596361450133305
dscnn_cnn_residual,effective_rank,32,0.8516088289783996,0.0037332945305258076
dscnn_cnn_residual,effective_rank,64,0.7333600321125784,0.006627665202324791
dscnn_cnn_residual,effective_rank,128,0.5790963228339627,0.009960546899419175
dscnn_cnn_residual,effective_rank,256,0.39691845676366555,0.011651463360016538
dscnn_cnn_residual,effective_rank,512,0.24293182676200606,0.012839151802749488
dscnn_cnn_residual,effective_rank,1024,0.13871375129355953,0.013374964720920654
dscnn_cnn_residual,pca_top5_ratio,16,2.7253096435381705,0.11768571108242505
dscnn_cnn_residual,pca_top5_ratio,32,1.5071794932552476,0.12454924973227338
dscnn_cnn_residual,pca_top5_ratio,64,0.7465659751134824,0.07208391788691866
dscnn_cnn_residual,pca_top5_ratio,128,0.38800656020111574,0.07940437361609111
dscnn_cnn_residual,pca_top5_ratio,256,0.19110978524515745,0.04154785028756506
dscnn_cnn_residual,pca_top5_ratio,512,0.10257342885643961,0.02805312426508041
