exp_name,tensor,shape,numel,mse,rmse,target_rms,param_nmse_db
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,fc_decoder.weight,2048x512,1048576,8.724181845320097e-10,2.9536726029335237e-05,0.030175230880426396,-60.18576494059371
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,fc_decoder.bias,2048,2048,1.3667682642616049e-09,3.696982910782257e-05,0.029523661172096035,-58.04645538894735
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.self_attn.in_proj_weight,192x64,12288,6.909564622066255e-09,8.312379095100425e-05,0.07650445754106706,-59.2792279727097
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.self_attn.in_proj_bias,192,192,2.6393568710722164e-06,0.0016246097596260512,0.034529753010065584,-26.54888827994743
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.self_attn.out_proj.weight,64x64,4096,1.5421322885136052e-08,0.0001241826190943646,0.12433558691178229,-60.01069267132909
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.self_attn.out_proj.bias,64,64,5.320745224794768e-06,0.002306674061239422,0.03740532436454452,-24.198943863200604
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.multihead_attn.in_proj_weight,192x64,12288,7.718097029306949e-09,8.785270075135397e-05,0.080837890663457,-59.27719711457727
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.multihead_attn.in_proj_bias,192,192,1.9141075454476768e-07,0.00043750514802087494,0.009713433585413543,-26.927792148973975
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.multihead_attn.out_proj.weight,64x64,4096,1.601118647977235e-08,0.0001265353171243995,0.12445934787902392,-59.856315265114574
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.multihead_attn.out_proj.bias,64,64,1.4567562321630317e-07,0.0003816747610417843,0.008085403322060775,-26.520164924361822
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.linear1.weight,2048x64,131072,1.4937826952615292e-09,3.864948505816771e-05,0.0400107404598842,-60.3006575342893
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.linear1.bias,2048,2048,4.865687217257606e-09,6.975447811615829e-05,0.0737433046248414,-60.48301003508831
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.linear2.weight,64x2048,131072,1.4396681874601213e-09,3.794295965604319e-05,0.03941496464912943,-60.33059874674731
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.linear2.bias,64,64,2.317485101167746e-06,0.0015223288413374247,0.013715221543045475,-19.09388703581174
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.0.norm1.weight,64,64,2.5893497233253626e-05,0.005088565341356405,0.9690152033008775,-45.594704707045636
