name,encoder,decoder,n_samples,code_dim,std_global,l2_mean,l2_std,near_zero_1e_3,effective_rank,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,participation_ratio,pcs_for_90pct,condition_number,dim_std_mean,final_test_nmse
attention_cnn_cnn_residual,attention_cnn,cnn_residual,100000,512,6.749575614929199,152.72933959960938,1.8137637376785278,0.0018703710520640016,175.698486328125,0.07418714463710785,0.15229494869709015,0.2230735868215561,82.93568420410156,185,226422.625,0.2781073749065399,nan
attention_cnn_hybrid,attention_cnn,hybrid,100000,512,0.7314822673797607,16.58661651611328,1.3611276149749756,0.0017171484651044011,158.07994079589844,0.036400917917490005,0.14880907535552979,0.24122054874897003,91.72577667236328,157,11947.6787109375,0.47547078132629395,nan
attention_cnn_transnet,attention_cnn,transnet,100000,512,0.5940598845481873,13.170720100402832,2.687530517578125,0.0014194336254149675,145.7747802734375,0.0404854454100132,0.15533462166786194,0.2527658939361572,83.58927917480469,144,6712.13671875,0.585570752620697,nan
cbam_cnn_cnn_residual,cbam_cnn,cnn_residual,100000,512,16.09446144104004,364.210693359375,2.6472949981689453,0.0010683008003979921,189.96286010742188,0.041543878614902496,0.13280634582042694,0.20818360149860382,110.87039947509766,195,157758.09375,0.5393490195274353,nan
cbam_cnn_hybrid,cbam_cnn,hybrid,100000,512,1.8167649507522583,41.167320251464844,2.690535545349121,0.0006992578273639083,133.97396850585938,0.044491030275821686,0.167138934135437,0.2692350149154663,76.56532287597656,134,60741.3984375,1.1553617715835571,nan
cbam_cnn_transnet,cbam_cnn,transnet,100000,512,1.2731398344039917,28.362350463867188,5.0522942543029785,0.0006590039120055735,131.06468200683594,0.051250532269477844,0.1882503628730774,0.2970854640007019,69.00604248046875,142,26886.693359375,1.2364239692687988,nan
clnet_cnn_residual,clnet,cnn_residual,100000,512,9.868978500366211,223.3979034423828,2.698746919631958,0.001041523413732648,174.1720733642578,0.08903887867927551,0.16723674535751343,0.23304054141044617,70.9663314819336,195,316015.15625,0.406721293926239,nan
clnet_hybrid,clnet,hybrid,100000,512,1.148132562637329,25.87267303466797,2.413367748260498,0.0011253710836172104,188.17185974121094,0.03152281418442726,0.12052805721759796,0.19796113669872284,113.60211944580078,191,28169.5078125,0.7427008748054504,nan
clnet_transnet,clnet,transnet,100000,512,0.6018073558807373,13.323251724243164,2.815342426300049,0.0013983594253659248,182.7266082763672,0.031622592359781265,0.1192878782749176,0.19706590473651886,111.30841827392578,180,19056.06640625,0.5895637273788452,nan
cnn_cnn_residual,cnn,cnn_residual,100000,512,15.212496757507324,344.2198791503906,3.116807460784912,0.0010539843933656812,175.69052124023438,0.053781457245349884,0.15240398049354553,0.23305965960025787,93.2569808959961,187,168044.578125,0.5615134835243225,nan
cnn_hybrid,cnn,hybrid,100000,512,1.8945244550704956,43.041011810302734,3.100309133529663,0.0006787695456296206,141.70652770996094,0.04198595508933067,0.16545724868774414,0.26675188541412354,79.75576782226562,144,38637.328125,1.2089215517044067,nan
cnn_transnet,cnn,transnet,100000,512,1.0971074104309082,24.342851638793945,4.874050617218018,0.000772558618336916,134.77328491210938,0.04278457537293434,0.17112644016742706,0.2788201570510864,75.11476135253906,139,36498.40625,1.0747400522232056,nan
convnext_cnn_residual,convnext,cnn_residual,100000,512,30.16861915588379,681.4834594726562,40.110591888427734,0.0004764062468893826,13.138708114624023,0.6401103138923645,0.6671108603477478,0.692051887512207,2.4350955486297607,101,9005344.0,1.5964882373809814,nan
convnext_hybrid,convnext,hybrid,100000,512,2.542452335357666,57.35003662109375,4.536117076873779,0.0003871484368573874,172.48223876953125,0.037098176777362823,0.1409294307231903,0.22149959206581116,100.63395690917969,168,17259.37890625,2.023749589920044,nan
convnext_transnet,convnext,transnet,100000,512,1.4079804420471191,31.71923065185547,2.9945247173309326,0.0006276171770878136,171.5426025390625,0.03893670812249184,0.14140190184116364,0.22108310461044312,99.44912719726562,173,97486.5859375,1.2462654113769531,nan
crnet_cnn_residual,crnet,cnn_residual,100000,512,10.31259536743164,233.34344482421875,1.4360164403915405,0.0009642773657105863,193.3268585205078,0.029456956312060356,0.11466201394796371,0.19059737026691437,121.42936706542969,190,124043.796875,0.47283077239990234,nan
crnet_hybrid,crnet,hybrid,100000,512,0.8815091848373413,19.806381225585938,2.3604323863983154,0.001219042926095426,165.11697387695312,0.04803512990474701,0.14844247698783875,0.22859108448028564,91.36622619628906,166,7013.619140625,0.6789243221282959,nan
crnet_transnet,crnet,transnet,100000,512,0.5914130806922913,13.11459732055664,2.6625735759735107,0.0014183007879182696,174.3730926513672,0.031221715733408928,0.12429213523864746,0.21057376265525818,106.87715148925781,169,6133.74169921875,0.5728873014450073,nan
csinet_cnn_residual,csinet,cnn_residual,100000,512,9.517489433288574,215.33006286621094,3.8805172443389893,0.0009542382904328406,138.27671813964844,0.15139137208461761,0.22658860683441162,0.28794318437576294,35.273345947265625,179,610838.0,0.43222686648368835,nan
csinet_hybrid,csinet,hybrid,100000,512,1.200028657913208,26.95636749267578,3.411052942276001,0.0009984765201807022,202.72280883789062,0.055236510932445526,0.13924404978752136,0.20743653178215027,104.20526885986328,217,13267.0908203125,0.8513475656509399,nan
csinet_transnet,csinet,transnet,100000,512,1.049123764038086,23.125934600830078,5.361230850219727,0.0008135546813718975,197.60963439941406,0.035063691437244415,0.1256089061498642,0.20147740840911865,115.88722229003906,202,39657.45703125,1.0356547832489014,nan
dscnn_cnn_residual,dscnn,cnn_residual,100000,512,12.378849029541016,280.1307067871094,2.5141866207122803,0.001269082073122263,164.86341857910156,0.047703418880701065,0.14715354144573212,0.23529699444770813,93.45832824707031,166,148524.375,0.4836992025375366,nan
dscnn_hybrid,dscnn,hybrid,100000,512,1.4715042114257812,33.269588470458984,3.2284207344055176,0.0007415820145979524,140.46209716796875,0.04918772727251053,0.1725500524044037,0.2718324065208435,75.67132568359375,147,7097.7255859375,1.1195359230041504,nan
dscnn_transnet,dscnn,transnet,100000,512,1.3142924308776855,29.316089630126953,5.006163120269775,0.0006337890517897904,154.360595703125,0.04310274124145508,0.17500373721122742,0.2721959352493286,80.39248657226562,167,4953.337890625,1.2822022438049316,nan
mlp_ae_cnn_residual,mlp_ae,cnn_residual,100000,512,12.46273422241211,282.00103759765625,3.632537841796875,0.0014740234473720193,134.8879852294922,0.1923629492521286,0.2537158727645874,0.30443161725997925,24.30925941467285,209,306848.875,0.3557756841182709,nan
mlp_ae_hybrid,mlp_ae,hybrid,100000,512,0.22237628698349,5.071460723876953,0.42139217257499695,0.005792558658868074,207.27073669433594,0.03993811458349228,0.13826040923595428,0.21022674441337585,112.68401336669922,229,55875.19140625,0.1362796574831009,nan
mlp_ae_transnet,mlp_ae,transnet,100000,512,0.2655549645423889,5.897810459136963,1.149711012840271,0.003270429791882634,200.327392578125,0.035675376653671265,0.12764254212379456,0.20172102749347687,115.5860366821289,215,92540.421875,0.250570684671402,nan
mlp_mixer_cnn_residual,mlp_mixer,cnn_residual,100000,512,11.96467113494873,270.729248046875,0.6070513725280762,0.0010839843889698386,232.41952514648438,0.025703178718686104,0.10018801689147949,0.16376565396785736,150.9459228515625,228,195526.90625,0.535298228263855,nan
mlp_mixer_hybrid,mlp_mixer,hybrid,100000,512,0.7364152669906616,16.631105422973633,1.285668134689331,0.0019610547460615635,196.98626708984375,0.037033312022686005,0.13200052082538605,0.20275171101093292,113.20085144042969,201,21046.33203125,0.4201071560382843,nan
mlp_mixer_transnet,mlp_mixer,transnet,100000,512,0.36413154006004333,8.106744766235352,1.4744131565093994,0.0023213671520352364,201.51443481445312,0.030999206006526947,0.11845037341117859,0.1928587257862091,122.09001159667969,205,74092.078125,0.32455915212631226,nan
