scheme,n_pairs,cos_mean,cos_std,cos_min,cos_max,mse_mean,l2_mean
aux_pca_1e-2,1,0.9998857378959656,,0.9998857378959656,0.9998857378959656,0.0021414756774902,1.01872456073761
aux_pca_5e-3_code_mean1e-4_cov1e-4,1,0.9997990131378174,,0.9997990131378174,0.9997990131378174,0.0003692425379995,0.4271054863929748
aux_pca_5e-3_code_mean1e-4,1,0.9991673827171326,,0.9991673827171326,0.9991673827171326,0.0026540798135101,1.1424328088760376
aux_pca_5e-3,1,0.9987353682518004,,0.9987353682518004,0.9987353682518004,0.0099913412705063,2.218254566192627
aux_pca_1e-2_code_mean1e-4_cov1e-4,319,0.9975638139210524,0.0034860654469846142,0.9790006279945374,1.0,0.012059395382585634,1.1382636727099555
aux_pca_5e-3_code_reg_mid,1,0.9971471428871156,,0.9971471428871156,0.9971471428871156,0.0069291847757995,1.5251063108444214
aux_pca_1e-2_code_reg,3,0.9969106117884318,0.00048124989636223037,0.9964125752449036,0.997373104095459,0.007165996357798534,1.5171912908554077
aux_pca_1e-3_code_reg,3,0.9964098731676737,0.0007932419658402575,0.99560809135437,0.9971942901611328,0.008807914952437034,1.718541185061137
aux_pca_5e-3_code_reg,3,0.9963733355204264,0.0005923100433967249,0.9959754347801208,0.9970540404319764,0.008833037844548534,1.7071391344070435
aux_pca_5e-3_code_reg_weak,1,0.9933324456214904,,0.9933324456214904,0.9933324456214904,0.0188825782388448,2.349809408187866
codebook1024_dct_reg,10,0.992099791765213,0.0007957048074211965,0.9908046126365662,0.9933527708053588,4.5369814927198604e-07,0.0150075808167457
aux_dct_1e-3,10,0.9876871347427368,0.01012025939136511,0.9789084792137146,0.9994806051254272,0.0566542300395667,4.683773839473725
codebook1024,10,0.9017201602458954,0.006541544967537189,0.8925822973251343,0.9137656688690186,2.912834443122847e-05,0.12092787399888034
aux_pca_1e-3,83,0.8968489372945694,0.24572639248689307,0.2075239270925521,1.0,1.9523639828590387,10.729161179324343
fixed_q_rank16_pca,10,0.8847945988178253,0.011426094035722062,0.8708164691925049,0.902927577495575,0.03493237956427034,3.801757264137268
aux_pca_1e-2_code_reg_weak,1,0.8812084197998047,,0.8812084197998047,0.8812084197998047,0.0624957419931888,4.823885917663574
fixed_q_rank16,10,0.2622527375817299,0.08195583402353276,0.1467440575361251,0.3571510910987854,0.3707301259040833,13.57695369720459
fixed_q_rank16_code_reg,10,0.2618450179696083,0.033575054654073094,0.2140347957611084,0.3328851759433746,1.4561028122901916,27.14130382537842
fixed_q,10,0.07038880623877046,0.09758274216970103,-0.1129754856228828,0.1991872638463974,1.2164993405342102,24.906604957580566
baseline,10,-0.005886339206335806,0.007673878144042036,-0.0174257550388574,0.0031669258605688,1.1192771077156067,23.632900047302247
