num_samples,code_dim,global_mean,global_std,global_rms,sample_norm_mean,sample_norm_std,dim_mean_abs,dim_var_mean,dim_var_std,dim_var_cv,cov_offdiag_ratio,effective_rank,rel_path,family,scheme,seed,encoder,decoder,adapter,best_nmse,final_test_nmse,complete,nmse
100000,512,0.000288579321932,0.2612102031707763,0.2612103521823883,5.79743242263794,1.150636076927185,0.0005175663391128,0.068230427801609,0.1424991637468338,2.088498830795288,0.0482028722763061,95.2711410522461,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,crnet,transnet,gated_lowrank_affine_mlp,-22.809,-22.809,True,
100000,512,0.000466585799586,0.2609617412090301,0.2609621584415436,5.796290874481201,1.1273205280303955,0.0015237565385177,0.0680969879031181,0.141830563545227,2.082772970199585,0.048651035875082,95.69330596923828,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,csinet,transnet,gated_lowrank_affine_mlp,-24.568,-24.568,True,
100000,512,0.0006659269565716,0.2609586417675018,0.2609595060348511,5.78366756439209,1.1900928020477295,0.0008717896416783,0.0680985450744628,0.1417122930288314,2.080988645553589,0.0480487346649169,95.832275390625,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,clnet,transnet,gated_lowrank_affine_mlp,-26.239,-26.239,True,
100000,512,-3.972525883000344e-05,0.2604155540466308,0.2604155540466308,5.771694660186768,1.1872090101242063,0.0006438956479541,0.0678155198693275,0.1410547196865081,2.079977035522461,0.0480311475694179,95.9083480834961,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,crnet,transnet,gated_lowrank_affine_mlp,-27.329,-27.329,True,
100000,512,0.0002606097841635,0.2608366906642914,0.2608368098735809,5.785696029663086,1.1662204265594482,0.0013204950373619,0.0680326446890831,0.1417506337165832,2.0835678577423096,0.0483361221849918,95.63736724853516,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,csinet,transnet,gated_lowrank_affine_mlp,-24.845,-24.845,True,
100000,512,9.83376448857598e-05,0.260326087474823,0.260326087474823,5.775623798370361,1.157690167427063,0.0002502762072253,0.0677695721387863,0.1412192583084106,2.083815097808838,0.0479126460850238,95.62238311767578,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,transnet,transnet,gated_lowrank_affine_mlp,-28.947,-28.947,True,
100000,512,0.000292666896712,0.261072963476181,0.2610731422901153,5.78634786605835,1.1898192167282104,0.0006857365369796,0.0681582912802696,0.1419310718774795,2.082374334335327,0.0480528511106967,95.7288055419922,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,clnet,transnet,gated_lowrank_affine_mlp,-26.427,-26.427,True,
100000,512,-3.953805207856931e-05,0.2603652775287628,0.2603652775287628,5.774415969848633,1.1681824922561646,0.0003103608905803,0.0677899271249771,0.1413227319717407,2.084715843200684,0.0482609868049621,95.55220794677734,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,crnet,transnet,gated_lowrank_affine_mlp,-24.468,-24.468,True,
100000,512,0.000915328215342,0.2606596350669861,0.2606612145900726,5.776109218597412,1.193327784538269,0.0011947550810873,0.0679416730999946,0.1425311267375946,2.0978453159332275,0.0490427948534488,94.57364654541016,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,csinet,transnet,gated_lowrank_affine_mlp,-18.285,-18.285,True,
100000,512,0.0001192075578728,0.260746419429779,0.2607464492321014,5.780999660491943,1.179090976715088,0.0002150701766368,0.067988634109497,0.1414875537157058,2.0810470581054688,0.0481483452022075,95.8271484375,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,transnet,transnet,gated_lowrank_affine_mlp,-29.539,-29.539,True,
