num_samples,code_dim,global_mean,global_std,global_rms,sample_norm_mean,sample_norm_std,dim_mean_abs,dim_var_mean,dim_var_std,dim_var_cv,cov_offdiag_ratio,effective_rank,rel_path,family,scheme,seed,encoder,decoder,adapter,best_nmse,final_test_nmse,complete
100000,512,0.0002885793219320476,0.26121020317077637,0.2612103521823883,5.7974324226379395,1.150636076927185,0.0005175663391128182,0.06823042780160904,0.1424991637468338,2.088498830795288,0.04820287227630615,95.2711410522461,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,crnet,transnet,gated_lowrank_affine_mlp,-22.809,-22.809,True
100000,512,0.00046658579958602786,0.26096174120903015,0.2609621584415436,5.796290874481201,1.1273205280303955,0.0015237565385177732,0.06809698790311813,0.14183056354522705,2.082772970199585,0.048651035875082016,95.69330596923828,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,csinet,transnet,gated_lowrank_affine_mlp,-24.568,-24.568,True
100000,512,0.0006659269565716386,0.26095864176750183,0.2609595060348511,5.78366756439209,1.1900928020477295,0.0008717896416783333,0.06809854507446289,0.14171229302883148,2.080988645553589,0.04804873466491699,95.832275390625,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,clnet,transnet,gated_lowrank_affine_mlp,-26.239,-26.239,True
100000,512,-3.972525883000344e-05,0.26041555404663086,0.26041555404663086,5.771694660186768,1.1872090101242065,0.0006438956479541957,0.06781551986932755,0.14105471968650818,2.079977035522461,0.048031147569417953,95.9083480834961,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,crnet,transnet,gated_lowrank_affine_mlp,-27.329,-27.329,True
100000,512,0.00026060978416353464,0.2608366906642914,0.26083680987358093,5.785696029663086,1.1662204265594482,0.0013204950373619795,0.0680326446890831,0.14175063371658325,2.0835678577423096,0.04833612218499184,95.63736724853516,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,csinet,transnet,gated_lowrank_affine_mlp,-24.845,-24.845,True
100000,512,9.83376448857598e-05,0.260326087474823,0.260326087474823,5.775623798370361,1.157690167427063,0.00025027620722539723,0.06776957213878632,0.14121925830841064,2.083815097808838,0.04791264608502388,95.62238311767578,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,2026,transnet,transnet,gated_lowrank_affine_mlp,-28.947,-28.947,True
100000,512,0.00029266689671203494,0.26107296347618103,0.26107314229011536,5.78634786605835,1.1898192167282104,0.0006857365369796753,0.06815829128026962,0.14193107187747955,2.082374334335327,0.04805285111069679,95.72880554199219,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,clnet,transnet,gated_lowrank_affine_mlp,-26.427,-26.427,True
100000,512,-3.953805207856931e-05,0.2603652775287628,0.2603652775287628,5.774415969848633,1.1681824922561646,0.0003103608905803412,0.06778992712497711,0.14132273197174072,2.0847158432006836,0.04826098680496216,95.55220794677734,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,crnet,transnet,gated_lowrank_affine_mlp,-24.468,-24.468,True
100000,512,0.000915328215342015,0.2606596350669861,0.26066121459007263,5.776109218597412,1.193327784538269,0.0011947550810873508,0.06794167309999466,0.1425311267375946,2.0978453159332275,0.04904279485344887,94.57364654541016,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,csinet,transnet,gated_lowrank_affine_mlp,-18.285,-18.285,True
100000,512,0.00011920755787286907,0.26074641942977905,0.26074644923210144,5.780999660491943,1.179090976715088,0.00021507017663680017,0.06798863410949707,0.14148755371570587,2.0810470581054688,0.048148345202207565,95.8271484375,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,transnet,transnet,gated_lowrank_affine_mlp,-29.539,-29.539,True
