rel_path,scheme,adapter,seed,encoder,decoder,epochs,nmse,source_self_nmse,loss_code,loss_fc,delta_ratio,gate_mean,gate_std,lowrank_ratio,mlp_ratio,decoder42_self_nmse,adapter_vs_source_nmse_delta,adapter_vs_decoder42_nmse_delta
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,400,-26.907,-29.62,4.0825e-05,3.2598e-05,0.74357,0.14954,0.022319,1.1488,1.3131,-29.528,2.713000000000001,2.6209999999999987
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-3_lr5e-4_ep200/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,200,-26.897,-29.62,4.7953e-05,3.2165e-05,0.74376,0.1428,0.010991,0.79765,1.0084,-29.528,2.7230000000000025,2.6310000000000002
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,400,-26.818,-29.62,6.8824e-05,2.6732e-05,0.7413,0.10905,0.02825,0.95601,1.1937,-29.528,2.8019999999999996,2.7099999999999973
adapter/aux_pca_5e-3_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_5e-3_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-26.778,-29.371,2.6487e-06,1.1631e-06,0.084427,0.0596,0.0075198,0.62145,0.62669,-29.635,2.593,2.857000000000003
adapter/aux_pca_1e-3/lowrank_affine_mlp/rank32_hidden2048_code1e-3_fc1e-2_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,lowrank_affine_mlp,2026,transnet,transnet,400,-26.573,-29.62,1.8981e-05,6.6911e-06,0.74606,,,0.71277,0.61391,-29.528,3.0470000000000006,2.9549999999999983
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,clnet,transnet,400,-26.427,-28.919,4.4514e-05,1.5395e-05,0.40549,0.18205,0.063247,1.8878,1.9276,-29.579,2.492000000000001,3.152000000000001
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,clnet,transnet,400,-26.418,-28.803,4.9946e-05,1.9004e-05,0.47871,0.22067,0.081168,2.5823,2.6228,-29.579,2.3850000000000016,3.1610000000000014
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,crnet,transnet,100,-26.365,-28.874,5.4861e-05,2.4805e-05,0.37598,0.19611,0.051938,1.3744,1.4218,-29.579,2.5090000000000003,3.214000000000002
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,clnet,transnet,400,-26.239,-29.049,4.3023e-05,1.5723e-05,0.41672,0.18736,0.06653,2.0341,2.076,-29.579,2.8099999999999987,3.34
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,csinet,transnet,400,-25.885,-26.562,0.00010127,3.6523e-05,5.9086,0.25392,0.094375,5.9677,8.3909,-29.579,0.6769999999999996,3.693999999999999
