left,right,centroid_l2,centroid_cosine,std_profile_l2,std_profile_cosine
attention_cnn_cnn_residual,attention_cnn_hybrid,151.77481079101562,0.10635805875062943,4.945536136627197,0.9540858268737793
attention_cnn_cnn_residual,attention_cnn_transnet,152.6202850341797,-0.0034084971994161606,7.245337963104248,0.9559308886528015
attention_cnn_cnn_residual,cbam_cnn_cnn_residual,396.7092590332031,-0.014519747346639633,7.481068134307861,0.9115543961524963
attention_cnn_cnn_residual,cbam_cnn_hybrid,157.5281982421875,-0.05303208529949188,20.028730392456055,0.9548078179359436
attention_cnn_cnn_residual,cbam_cnn_transnet,152.72093200683594,0.001070680096745491,21.91817855834961,0.9521027207374573
attention_cnn_cnn_residual,clnet_cnn_residual,269.6472473144531,0.005972864106297493,3.8384110927581787,0.9422643184661865
attention_cnn_cnn_residual,clnet_hybrid,153.22569274902344,0.032972294837236404,10.780747413635254,0.9538780450820923
attention_cnn_cnn_residual,clnet_transnet,152.62994384765625,-0.003191299270838499,7.353209972381592,0.9564692974090576
attention_cnn_cnn_residual,cnn_cnn_residual,383.9458312988281,-0.05545980855822563,7.651298999786377,0.9188014268875122
attention_cnn_cnn_residual,cnn_hybrid,156.42491149902344,-0.007307387422770262,21.227333068847656,0.9544362425804138
attention_cnn_cnn_residual,cnn_transnet,152.70289611816406,-0.006507830694317818,18.1875,0.9542216658592224
attention_cnn_cnn_residual,convnext_cnn_residual,695.3228149414062,0.012625111266970634,46.15933609008789,0.6967825293540955
attention_cnn_cnn_residual,convnext_hybrid,154.37806701660156,0.06090792268514633,39.96625900268555,0.9491791725158691
attention_cnn_cnn_residual,convnext_transnet,153.12046813964844,0.012560902163386345,22.062894821166992,0.9555950164794922
attention_cnn_cnn_residual,crnet_cnn_residual,281.0210266113281,-0.019063986837863922,5.112493515014648,0.9435085654258728
attention_cnn_cnn_residual,crnet_hybrid,154.47482299804688,-0.10736699402332306,9.301487922668457,0.955071747303009
attention_cnn_cnn_residual,crnet_transnet,152.76138305664062,-0.039721205830574036,6.937744617462158,0.9560891389846802
attention_cnn_cnn_residual,csinet_cnn_residual,265.3310852050781,-0.012931975536048412,4.439414024353027,0.9370293617248535
attention_cnn_cnn_residual,csinet_hybrid,155.30474853515625,-0.0806446298956871,13.161545753479004,0.9533273577690125
attention_cnn_cnn_residual,csinet_transnet,152.79237365722656,-0.04260711744427681,17.29977798461914,0.9553519487380981
attention_cnn_cnn_residual,dscnn_cnn_residual,319.6490478515625,-0.006089428905397654,6.098973751068115,0.9170834422111511
attention_cnn_cnn_residual,dscnn_hybrid,154.303955078125,-0.008291317149996758,19.364349365234375,0.9518303275108337
attention_cnn_cnn_residual,dscnn_transnet,152.90928649902344,-0.030022140592336655,22.88028335571289,0.9558734893798828
attention_cnn_cnn_residual,mlp_ae_cnn_residual,321.2572937011719,-0.005222578998655081,3.5649101734161377,0.9138550758361816
attention_cnn_cnn_residual,mlp_ae_hybrid,152.45909118652344,0.04769474267959595,3.746168375015259,0.954623281955719
attention_cnn_cnn_residual,mlp_ae_transnet,152.61672973632812,-0.002848748117685318,2.0337979793548584,0.9552244544029236
attention_cnn_cnn_residual,mlp_mixer_cnn_residual,309.8446044921875,0.004898779559880495,7.903079032897949,0.8820978999137878
attention_cnn_cnn_residual,mlp_mixer_hybrid,152.64773559570312,0.04125569388270378,3.792983293533325,0.9559820890426636
attention_cnn_cnn_residual,mlp_mixer_transnet,152.65771484375,-0.003780936123803258,2.1980068683624268,0.9562626481056213
attention_cnn_cnn_residual,resnet_cnn_residual,513.8502197265625,0.00028536911122500896,11.501859664916992,0.8974727988243103
attention_cnn_cnn_residual,resnet_hybrid,157.38278198242188,0.007845314219594002,27.181058883666992,0.956620454788208
attention_cnn_cnn_residual,resnet_transnet,153.00750732421875,-0.06791241466999054,16.438526153564453,0.9528456926345825
attention_cnn_cnn_residual,sparse_resnet_cnn_residual,500.8836975097656,-0.039749614894390106,10.919987678527832,0.9010144472122192
attention_cnn_cnn_residual,sparse_resnet_hybrid,157.95401000976562,-0.010391967371106148,25.852161407470703,0.9544061422348022
attention_cnn_cnn_residual,sparse_resnet_transnet,152.2630615234375,0.080656036734581,18.570659637451172,0.9450806379318237
attention_cnn_cnn_residual,swin_cnn_residual,210.41470336914062,0.08200600743293762,3.3721253871917725,0.9046112895011902
attention_cnn_cnn_residual,swin_hybrid,153.0474090576172,-0.015126591548323631,3.5530261993408203,0.9543749690055847
attention_cnn_cnn_residual,swin_transnet,152.5777130126953,0.019636912271380424,2.229536771774292,0.9556653499603271
attention_cnn_cnn_residual,transnet_cnn_residual,326.986083984375,-0.048285000026226044,10.572062492370605,0.8860396146774292
attention_cnn_cnn_residual,transnet_hybrid,154.9461212158203,-0.03339073434472084,9.821371078491211,0.9531930088996887
attention_cnn_cnn_residual,transnet_transnet,152.88235473632812,-0.01910291612148285,10.690235137939453,0.949647843837738
attention_cnn_hybrid,attention_cnn_transnet,12.890958786010742,-0.025737447664141655,2.7675328254699707,0.9943782091140747
attention_cnn_hybrid,cbam_cnn_cnn_residual,364.144775390625,0.004116891883313656,4.570580005645752,0.9421155452728271
attention_cnn_hybrid,cbam_cnn_hybrid,33.233924865722656,0.08608537167310715,15.535309791564941,0.9926831722259521
attention_cnn_hybrid,cbam_cnn_transnet,13.85899829864502,0.048495031893253326,17.422136306762695,0.991655707359314
attention_cnn_hybrid,clnet_cnn_residual,223.68765258789062,-0.008058701641857624,2.4870107173919678,0.9800645112991333
attention_cnn_hybrid,clnet_hybrid,23.54705047607422,-0.006742707919329405,6.268035888671875,0.9929865002632141
attention_cnn_hybrid,clnet_transnet,12.792888641357422,0.055168382823467255,2.827009916305542,0.9953410625457764
attention_cnn_hybrid,cnn_cnn_residual,344.174072265625,0.0012401370331645012,4.284210205078125,0.9564831852912903
attention_cnn_hybrid,cnn_hybrid,35.36013412475586,0.02160995826125145,16.725444793701172,0.9930660724639893
attention_cnn_hybrid,cnn_transnet,13.50241756439209,0.004090685397386551,13.654967308044434,0.9943267107009888
attention_cnn_hybrid,convnext_cnn_residual,680.3855590820312,0.0025945412926375866,43.452064514160156,0.7134535908699036
attention_cnn_hybrid,convnext_hybrid,38.10725784301758,-0.12057041376829147,35.489871978759766,0.9896274209022522
attention_cnn_hybrid,convnext_transnet,19.0559024810791,0.03529541194438934,17.548545837402344,0.9944096803665161
attention_cnn_hybrid,crnet_cnn_residual,232.78114318847656,0.05144014209508896,1.9337964057922363,0.9840247631072998
attention_cnn_hybrid,crnet_hybrid,17.925168991088867,-0.0007446503732353449,4.774464130401611,0.9941133260726929
attention_cnn_hybrid,crnet_transnet,13.350739479064941,-0.09047167748212814,2.4523911476135254,0.9948965907096863
attention_cnn_hybrid,csinet_cnn_residual,215.55996704101562,-0.007415648549795151,2.308300733566284,0.9786006212234497
attention_cnn_hybrid,csinet_hybrid,22.761829376220703,0.012531306594610214,8.649139404296875,0.9926165342330933
attention_cnn_hybrid,csinet_transnet,13.206598281860352,-0.01455860398709774,12.765034675598145,0.9948402047157288
attention_cnn_hybrid,dscnn_cnn_residual,280.14508056640625,0.006774806417524815,3.6649281978607178,0.9482588171958923
