name,encoder,decoder,path,num_samples,code_dim,mean,std,min,max,abs_mean,l2_norm_mean,l2_norm_std,near_zero_1e-3,dim_mean_abs_mean,dim_std_mean,dim_std_std,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,effective_rank_32
attention_cnn_cnn_residual,attention_cnn,cnn_residual,exps/seed42/COST2100/in/attention_cnn_cnn_residual/base/codewords/train_code.pt,10000,512,0.093403160572052,6.749569892883301,-42.962886810302734,40.72970199584961,2.2581286430358887,152.7290802001953,1.82352614402771,0.0018621094059199095,2.156989097595215,0.27817362546920776,0.0838107019662857,0.18072280287742615,0.3746720254421234,0.545878529548645,25.145038604736328
attention_cnn_hybrid,attention_cnn,hybrid,exps/seed42/COST2100/in/attention_cnn_hybrid/base/codewords/train_code.pt,10000,512,-0.0766756683588028,0.7317389249801636,-5.555091381072998,10.484370231628418,0.4315061569213867,16.591867446899414,1.3661404848098755,0.0016998046776279807,0.14722993969917297,0.47606173157691956,0.0392695777118206,0.07791558653116226,0.3148963451385498,0.5167533755302429,28.35251808166504
attention_cnn_transnet,attention_cnn,transnet,exps/seed42/COST2100/in/attention_cnn_transnet/base/codewords/train_code.pt,10000,512,0.0018042192095890641,0.5937477946281433,-3.951801061630249,4.412019729614258,0.46480199694633484,13.16063117980957,2.7014999389648438,0.0014056640211492777,0.06413877010345459,0.5851970314979553,0.03681660443544388,0.0846291109919548,0.31916344165802,0.5124924182891846,28.110368728637695
cbam_cnn_cnn_residual,cbam_cnn,cnn_residual,exps/seed42/COST2100/in/cbam_cnn_cnn_residual/base/codewords/train_code.pt,10000,512,-0.2508964538574219,16.093900680541992,-115.87797546386719,115.56211853027344,4.561046123504639,364.19781494140625,2.6791067123413086,0.0010847656521946192,4.346291542053223,0.5415123105049133,0.1876794397830963,0.10595749318599701,0.3322582244873047,0.5186389088630676,27.833280563354492
cbam_cnn_hybrid,cbam_cnn,hybrid,exps/seed42/COST2100/in/cbam_cnn_hybrid/base/codewords/train_code.pt,10000,512,0.15328183770179749,1.8159990310668945,-22.083328247070312,13.806413650512695,1.0578521490097046,41.15269470214844,2.643049716949463,0.0007210937328636646,0.34802550077438354,1.1534901857376099,0.10574144124984741,0.09042589366436005,0.3236091136932373,0.5250009894371033,27.776559829711914
cbam_cnn_transnet,cbam_cnn,transnet,exps/seed42/COST2100/in/cbam_cnn_transnet/base/codewords/train_code.pt,10000,512,0.01102942693978548,1.2718007564544678,-11.381121635437012,11.37038516998291,0.9954217672348022,28.34552764892578,4.974105358123779,0.0006660156068392098,0.17667493224143982,1.234925389289856,0.12447986006736755,0.09589853137731552,0.35198304057121277,0.5591694116592407,26.655231475830078
clnet_cnn_residual,clnet,cnn_residual,exps/seed42/COST2100/in/clnet_cnn_residual/base/codewords/train_code.pt,10000,512,-0.3023763597011566,9.869329452514648,-43.832489013671875,49.550479888916016,4.100021839141846,223.40614318847656,2.6795895099639893,0.0010248046601191163,3.9985241889953613,0.40561166405677795,0.07624808698892593,0.21182498335838318,0.40307605266571045,0.561197817325592,23.622512817382812
clnet_hybrid,clnet,hybrid,exps/seed42/COST2100/in/clnet_hybrid/base/codewords/train_code.pt,10000,512,0.024165336042642593,1.1482239961624146,-13.617838859558105,10.982831954956055,0.6739805936813354,25.874744415283203,2.4139044284820557,0.0011257812147960067,0.158956840634346,0.7428179979324341,0.06343205273151398,0.0782696008682251,0.2947952151298523,0.48360684514045715,29.069332122802734
clnet_transnet,clnet,transnet,exps/seed42/COST2100/in/clnet_transnet/base/codewords/train_code.pt,10000,512,0.0023438911885023117,0.6030861139297485,-4.410000324249268,5.0421929359436035,0.4723794460296631,13.348187446594238,2.8371975421905518,0.0014253905974328518,0.09170341491699219,0.5908171534538269,0.030273744836449623,0.07499028742313385,0.28059127926826477,0.47141140699386597,29.40562629699707
cnn_cnn_residual,cnn,cnn_residual,exps/seed42/COST2100/in/cnn_cnn_residual/base/codewords/train_code.pt,10000,512,-0.13959942758083344,15.211499214172363,-86.69196319580078,126.93447875976562,4.605509281158447,344.19696044921875,3.1543235778808594,0.0010652344208210707,4.372514247894287,0.5613503456115723,0.1647902876138687,0.1266597956418991,0.3499591648578644,0.5375359654426575,26.94838523864746
cnn_hybrid,cnn,hybrid,exps/seed42/COST2100/in/cnn_hybrid/base/codewords/train_code.pt,10000,512,-0.21782946586608887,1.893288493156433,-15.722786903381348,23.1751708984375,1.0975347757339478,43.01272201538086,3.07981014251709,0.0006923828041180968,0.3855174481868744,1.2063469886779785,0.11050119996070862,0.08256104588508606,0.3309985101222992,0.5365139245986938,27.58415985107422
cnn_transnet,cnn,transnet,exps/seed42/COST2100/in/cnn_transnet/base/codewords/train_code.pt,10000,512,-0.010824385099112988,1.0964466333389282,-8.504670143127441,8.587106704711914,0.8583040833473206,24.338260650634766,4.820058345794678,0.0007832031114958227,0.11262740194797516,1.0739556550979614,0.07093560695648193,0.08250417560338974,0.32973548769950867,0.5348654389381409,27.606929779052734
